IDs,Organism,Position_F,Identity_F,Position_R,Identity_R,Position_Probe,Identity_Probe
CP010543.1,"Mycoplasma pneumoniae 54524, complete genome",165943->165967,100%,166047<-166067,100%,130427<-130448,95%
,NA,181024->181048,100%,181128<-181148,100%,166002<-166023,100%
,NA,443414->443438,100%,248561<-248581,100%,181083<-181104,100%
,NA,NA,NA,443518<-443538,100%,248516<-248537,95%
,NA,NA,NA,NA,NA,443473<-443494,100%
CP178967.1,"Mycoplasmoides pneumoniae strain 87664.fasta chromosome, complete genome",243439->243463,100%,243543<-243563,100%,207931<-207952,95%
,NA,258519->258543,100%,258623<-258643,100%,243498<-243519,100%
,NA,520661->520685,100%,326058<-326078,100%,258578<-258599,100%
,NA,NA,NA,520765<-520785,100%,326013<-326034,95%
,NA,NA,NA,NA,NA,520720<-520741,100%
CP179098.1,"Mycoplasmoides pneumoniae strain 89203.fasta chromosome, complete genome",165852->165876,100%,165956<-165976,100%,130342<-130363,95%
,NA,180932->180956,100%,181036<-181056,100%,165911<-165932,100%
,NA,443251->443275,100%,248470<-248490,100%,180991<-181012,100%
,NA,NA,NA,443355<-443375,100%,248425<-248446,95%
,NA,NA,NA,NA,NA,443310<-443331,100%
CP039761.1,"Mycoplasmoides pneumoniae strain 16-734 chromosome, complete genome",165901->165925,100%,166005<-166025,100%,130338<-130359,95%
,NA,179441->179465,100%,179545<-179565,100%,165960<-165981,100%
,NA,441432->441456,100%,246809<-246829,100%,179500<-179521,100%
,NA,NA,NA,441536<-441556,100%,246764<-246785,95%
,NA,NA,NA,NA,NA,441491<-441512,100%
CP179068.1,"Mycoplasmoides pneumoniae strain 88630.fasta chromosome, complete genome",243433->243457,100%,243537<-243557,100%,207923<-207944,95%
,NA,258513->258537,100%,258617<-258637,100%,243492<-243513,100%
,NA,520655->520679,100%,326052<-326072,100%,258572<-258593,100%
,NA,NA,NA,520759<-520779,100%,326007<-326028,95%
,NA,NA,NA,NA,NA,520714<-520735,100%
CP039765.1,"Mycoplasmoides pneumoniae strain 16-032 chromosome, complete genome",165939->165963,100%,166043<-166063,100%,130429<-130450,95%
,NA,181019->181043,100%,181123<-181143,100%,165998<-166019,100%
,NA,443353->443377,100%,248558<-248578,100%,181078<-181099,100%
,NA,NA,NA,443457<-443477,100%,248513<-248534,95%
,NA,NA,NA,NA,NA,443412<-443433,100%
CP010547.1,"Mycoplasma pneumoniae M1139, complete genome",165992->166016,100%,166096<-166116,100%,130424<-130445,95%
,NA,179532->179556,100%,179636<-179656,100%,166051<-166072,100%
,NA,441442->441466,100%,246905<-246925,100%,179591<-179612,100%
,NA,NA,NA,441546<-441566,100%,246860<-246881,95%
,NA,NA,NA,NA,NA,441501<-441522,100%
CP179094.1,"Mycoplasmoides pneumoniae strain 89190.fasta chromosome, complete genome",243433->243457,100%,243537<-243557,100%,207923<-207944,95%
,NA,258513->258537,100%,258617<-258637,100%,243492<-243513,100%
